No,food,makanan,kalori,lemak,karbohidrat,gula,protein,serat,kolesterol,natrium,air,vitamin_A,vitamin_B1,vitamin_B11,vitamin_B12,vitamin_B2,vitamin_B3,vitamin_B5,vitamin_B6,vitamin_C,vitamin_D,vitamin_E,vitamin_K,kalsium,zat_besi,magnesium,fosfor,kalium,zinc,kepadatan_nutrisi
131,salmon raw,salmon mentah,824,53.1,0,0,80.9,0,217.8,0.2,257,0,0.8,0.1,21,0.6,34.3,6.1,2.5,15.4,0,14.1,59,35.6,1.3,106.9,950.4,1437.5,1.4,186.3
132,turbot cooked,ikan turbot dimasak,388,12,0,0,65.4,0,197.2,0.6,224,0.02,0.2,0.04,26,0.3,8.5,2.1,0.8,5.4,0,0,0,73.1,1.5,206.7,524.7,969.9,0.9,157.453
133,surimi,surimi,28,0.3,1.9,0,4.3,0,8.5,42,21.6,84,72,6,35,78,62,55,64,0,0,0.2,3,2.5,57,12.2,79.8,31.7,26,9.072
134,chinook salmon cooked,salmon chinook dimasak,711,41.2,0,0,79.2,0,261.8,0.2,202,0.5,0.1,0.1,65,0.5,30.9,2.7,1.4,12.6,0,0,0,86.2,2.8,375.8,1142.7,1555.4,1.7,222.5
135,mullet cooked,mullet dimasak,140,4.5,0,0,23.1,0,58.6,1,65.6,53,22,34,84,0.09,5.9,0.8,0.5,1.1,0,0,0,28.8,1.3,30.7,226.9,425.9,0.8,58.866
136,chum salmon raw,salmon chum mentah,3,0.1,0,0,0.6,0,2.1,29,2.1,0.08,16,97,65,0.06,0.2,43,36,0,0,93,0,0.3,38,0.6,7.9,12,62,1.025
137,butterfish raw,ikan mentega mentah,47,2.6,0,0,5.5,0,20.8,72,23.7,31,73,0.04,48,77,1.4,0.2,0.03,0,0,0,0,7,0.2,8,76.8,120,0.2,15.332
138,sea bass cooked,ikan bass laut yang dimasak,125,2.6,0,0,23.9,0,53.5,58,72.9,53,0.1,48,46,0.2,1.9,0.9,0.5,0,0,0,0,13.1,0.4,53.5,250.5,331.3,0.5,40.067
139,greenland halibut raw,ikan halibut greenland mentah,759,56.5,0,0,58.6,0,187.7,0.3,286.7,9,0.2,69,5,0.3,6.1,1,1.7,0,0.1,3,91,12.2,2.7,106.1,669.1,1093.4,1.6,130.06
140,halibut raw,ikan halibut mentah,371,5.4,0,0,75.7,0,199.9,0.3,327.8,72,0.2,79,15,0.1,26.6,1.4,2.2,0,31,2.5,0,28.6,0.7,93.8,962.9,1774.8,1.5,110.481
141,sturgeon cooked,ikan sturgeon yang dimasak,184,7,0,0,28.2,0,104.7,19,95.1,0.4,0.1,72,87,0.1,13.7,1.2,0.3,0,73,0.9,39,23.1,1.2,61.2,368.6,495,0.7,59.9
142,fish fillet fried,fillet ikan goreng,211,11.2,15.4,0,13.3,0.5,30.9,0.5,48.7,95,43,0.05,54,89,1.9,0.2,66,0,0,0,0,16.4,1.9,21.8,155.6,291.2,0.4,58.716
143,rainbow trout raw,ikan trout pelangi mentah,111,4.9,0,0,15.8,0,46.6,22,58.3,44,32,56,57,91,4.4,1.3,0.3,2.3,56,1.8,94,19.8,0.2,19.8,178.5,297.8,0.4,43.047
144,pout raw,cemberut mentah-mentah,278,3.2,0,0,58.6,0,183,0.2,286.4,32,0.3,22,21,0.2,7.4,0.5,0.8,0,0,0,0,35.2,1,45.8,704,1408,3.6,98.078
145,rainbow smelt cooked,ikan smelt pelangi dimasak,35,0.9,0,0,6.4,0,25.5,47,20.6,5,72,21,89,83,0.5,0.2,41,0,0,0,0,21.8,0.3,10.8,83.5,105.3,0.6,29.428
146,monkfish raw,ikan monkfish mentah,22,0.4,0,0,4.1,0,7.1,59,23.6,5,92,82,21,81,0.6,25,77,0.3,0,0,0,2.3,59,5.9,56.6,113.2,0.1,7.21
147,trout raw,ikan trout mentah,117,5.2,0,0,16.4,0,45.8,51,56.4,0.1,0.3,41,27,0.3,3.6,1.5,0.2,0.4,32,0.2,3,34,1.2,17.4,193.6,285.2,0.5,57.297
148,shark raw,hiu mentah,37,1.3,0,0,5.9,0,14.4,3,20.8,12,9,79,85,17,0.8,0.2,0.1,0,46,0.3,7,9.6,0.2,13.9,59.4,45.3,0.1,17.064
149,burbot raw,burbot mentah,104,0.9,0,0,22.4,0,69.6,0.1,91.9,81,0.4,24,48,0.2,1.9,0.2,0.3,0,0,0,0,58,1,37.1,232,468.6,0.9,82.309
150,dolphinfish cooked,ikan lumba-lumba dimasak,173,1.4,0,0,37.7,0,149.5,0.2,113.2,46,92,96,86,0.1,11.8,1.4,0.7,0,0,0,0,30.2,2.3,60.4,291,847.5,0.9,71.625
151,crayfish cooked,udang karang yang dimasak,25,0.4,0,0,5,0,38.8,58,22.9,94,45,56,76,51,0.5,0.1,58,0.1,0,0,0,14.4,0.3,9.3,68.2,67.4,0.4,20.222
152,dolphinfish raw,ikan lumba-lumba mentah,173,1.4,0,0,37.7,0,148.9,0.2,158.2,0.1,0.05,5,0.04,0.1,12.4,1.5,0.8,0,0,0,0,30.6,2.3,61.2,291.7,848.6,0.9,72.1
153,perch cooked,bertengger dimasak,54,0.5,0,0,11.4,0,52.9,43,33.7,19,6,99,0.02,88,0.9,0.4,0.07,0.8,0,0,0,46.9,0.5,17.5,118.2,158.2,0.7,60.112
154,cusk raw,cusk mentah,106,0.8,0,0,23.2,0,50,86,93.1,38,33,38,37,0.2,3.3,0.3,0.5,0,0,0,0,12.2,1,37.8,248.9,478.2,0.5,37.228
155,bluefin tuna raw,tuna sirip biru mentah,41,1.4,0,0,6.6,0,10.8,13,19.3,0.2,37,41,8,42,2.4,0.3,0.1,0,77,0.3,0,2.3,0.3,14.2,71.9,71.3,0.2,10.8
156,milkfish cooked,ikan bandeng masak,54,2.4,0,0,7.4,0,19,76,17.7,27,69,0.08,61,58,2.3,0.2,0.1,0,0,0,0,18.4,0.1,10.8,58.9,105.8,0.3,28.341
157,carp raw,ikan mas mentah,277,12.2,0,0,38.9,0,143.9,0.1,166.4,42,0.3,94,87,0.1,3.6,1.6,0.4,3.5,42,1.4,16,89.4,2.7,63.2,904.7,725.9,3.2,146.793
158,sturgeon raw,ikan sturgeon mentah,30,1.1,0,0,4.6,0,17,7,21.7,16,58,39,39,82,2.3,0.2,13,0,8,0.1,0.03,3.7,0.2,9.9,59.7,80.4,0.1,9.612
159,orange roughy raw,jeruk roughy mentah,22,0.2,0,0,4.6,0,17,63,21.4,82,86,73,78,5,0.4,82,38,0,0,0.3,63,2.5,0.3,4.8,30.3,47.3,39,7.672
160,catfish fried,lele goreng,199,11.6,7,0,15.7,0.6,61.8,0.2,51.2,0,0.04,15,54,0.1,2,0.6,0.2,0,0,0,0,38.3,1.2,23.5,187.9,295.8,0.7,74.4
161,cuttlefish raw,sotong mentah,22,0.2,0.2,0,4.6,0,31.7,0.1,22.8,48,25,93,0.01,0.3,0.3,0.1,79,1.5,0,0,0,25.5,1.7,8.5,109.5,100.2,0.5,33.734
162,bass raw,bass mentah,90,2.9,0,0,14.9,0,53.7,55,59.8,4,91,46,3,46,1,0.6,52,1.6,0,0,0,63.2,1.2,23.7,158,281.2,0.5,83.837
163,flounder cooked,ikan flounder yang dimasak,109,3,0,0,19.4,0,71.1,0.5,103,47,67,94,14,18,2,1.6,0.3,0.1,0,5,1,0.1,99,0.3,77,392.4,49,22.622
164,milkfish raw,ikan bandeng mentah,42,1.9,0,0,5.8,0,14.7,98,20.1,99,91,0.09,12,27,1.8,0.2,0.1,0,0,0,0,14.4,57,8.5,45.8,82.6,0.2,22.203
165,eel raw,belut mentah,375,23.8,0,0,37.6,0,257,0.1,139.3,2.1,0.3,49,61,2,7.1,0.5,0.1,3.7,0.01,8.2,0,40.8,1,40.8,440.6,554.9,3.3,109
166,catfish raw,ikan lele mentah,189,9.4,0,0,24.2,0,87.5,0.2,125.7,0,22,83,3,0.1,3.3,1.1,0.2,0,84,1.3,22,12.7,0.4,30.2,324.4,480.2,0.8,46.7
167,fish sticks,tongkat ikan,78,4.5,6.1,0.5,3.1,0.4,7.8,0.1,13.9,55,6,37,39,0.3,82,0.4,0,38,0,0,1.9,89,0.3,0.2,0,53.5,72,14.563
168,coho salmon raw,salmon coho mentah,254,12.2,0,0,33.8,0,81.1,54,112,12,0.1,76,95,0.2,10.8,1.8,1,1.7,0,0,0,19.1,0.5,49.3,464.3,715.5,0.7,67.308
169,monkfish cooked,ikan monkfish yang dimasak,27,0.6,0,0,5.3,0,9.1,4,22.2,6,14,11,24,45,0.7,0.01,39,0.3,0,0,0,2.8,0.1,7.6,72.4,145.2,0.1,9.165
170,yellowtail cooked,ikan ekor kuning yang dimasak,546,19.6,0,0,86.6,0,207.3,0.1,196.6,45,0.5,85,34,0.1,25.5,2,0.5,8.5,0,0,0,84.7,1.8,111,586.9,1571,2,201.282
171,yellowfin tuna cooked,tuna sirip kuning dimasak,37,0.2,0,0,8.2,0,13.3,11,19.5,98,65,19,59,93,6.2,21,0.3,0,9,42,23,1.1,0.3,11.9,94.2,149.1,0.1,9.861
172,ling cooked,ling dimasak,168,1.2,0,0,36.8,0,77,0.3,111.6,25,0.2,9,0.06,0.3,4.2,0.6,0.5,0,0,0,0,66.4,1.3,122.3,383.5,733.9,1.5,105.731
173,eel cooked,belut dimasak,67,4.2,0,0,6.7,0,45.6,69,16.8,0.3,8,74,58,66,1.3,67,31,0.5,0,0,0,7.4,0.2,7.4,78.4,98.8,0.6,19.3
174,sablefish raw,ikan gabus mentah,753,59.1,0,0,51.8,0,189.1,0.2,274.1,0.4,0.4,94,0.1,0.3,15.4,2.9,1.2,0,0,0,0,135.1,4.9,212.3,648.5,1381.9,1.2,251.3
175,salmon nuggets,nugget ikan salmon,60,3.3,4,0,3.6,0,7.4,5,17.1,0,18,76,86,59,1.3,0.1,46,0,0,0,0,2.3,0.4,5.7,49.8,46.7,0.1,13.6
176,yellowtail raw,ekor kuning mentah,546,19.6,0,0,86.5,0,205.7,0.1,278.7,0.1,0.5,0.08,72,0.1,25.4,2.2,0.6,10.5,0,0,71,86,1.8,112.2,587.2,1570.8,1.9,204.5
177,butterfish cooked,ikan mentega yang dimasak,47,2.6,0,0,5.5,0,20.8,42,16.7,29,55,92,57,16,1.4,0.2,41,0,0,0,0,7,0.2,8,77,120.3,0.2,15.35
178,caviar,kaviar,42,2.9,0.6,0,3.9,0,94.1,0.2,7.6,54,37,38,83,3,51,0.6,5,0,0,0.3,65,44,1.9,48,57,29,0.2,53.325
179,pollock raw,ikan pollock mentah,355,3.8,0,0,75,0,274.1,0.3,301.8,68,0.2,68,62,0.7,12.6,1.4,1.1,0,12,0.9,14,231.6,1.8,258.6,853.1,1374.2,1.8,312.275
180,catfish cooked,ikan lele dimasak,206,10.3,0,0,26.4,0,94.4,0.2,106.7,66,45,44,66,21,0.1,3.6,1.2,0.3,0,35,1.4,0.01,98,0.4,11,353.2,0.03,37.141
181,whiting raw,ikan whiting mentah,83,1.2,0,0,16.8,0,61.6,16,73.8,92,66,57,0.07,59,1.2,0.2,0.1,0,89,0.3,86,44.2,0.3,19.3,204.2,229.1,0.8,62.592
182,pink salmon raw,salmon merah muda mentah,404,14,0,0,65.2,0,146.3,0.2,240.2,0.1,0.3,44,0.03,0.3,25.4,3.3,1.9,0,35,1.3,25,22.3,1.2,85.9,830,1163.9,1.2,102.8
183,yellowfin tuna raw,tuna sirip kuning mentah,31,0.1,0,0,6.9,0,11,49,21,48,0,84,63,35,5.2,12,0.3,0,17,63,0.09,1.1,0.2,9.9,78.7,124.8,0.1,8.322
184,mackerel raw,makarel mentah,230,15.6,0,0,20.8,0,78.4,0.1,71.2,19,0.2,7,47,0.3,10.2,1,0.4,0.4,0.03,1.7,25,13.4,1.8,85.1,243,351.7,0.7,52.063
185,turbot raw,turbot mentah,388,12,0,0,65.5,0,195.8,0.6,314,1,0.3,94,0.09,0.3,9,2.3,0.9,6.9,0,0,0,73.4,1.5,208.1,526.3,971,0.9,159.322
186,cusk cooked,cusk dimasak,106,0.8,0,0,23.1,0,50.4,47,66.2,16,97,15,7,0.2,3.1,0.3,0.4,0,0,0,0,12.4,1,38,248.9,477.9,0.5,37.306
187,atlantic croaker raw,ikan croaker atlantik mentah,82,2.5,0,0,14,0,48.2,14,61.6,39,79,28,66,38,3.3,0.6,0.2,0,5,1,68,11.9,0.3,31.6,165.9,272.6,0.3,28.709
188,sucker cooked,pengisap dimasak,148,3.7,0,0,26.6,0,65.7,19,91.7,6,53,43,26,0.1,1.8,1.1,0.3,0,0,0,0,111.6,2.1,47.1,333.6,603.9,1.2,144.006
189,spot raw,tempat mentah,79,3.1,0,0,11.8,0,38.4,22,48.6,5,0.1,63,42,0.1,4.5,0.5,0.3,0,0,0,0,9,0.2,26.9,119,317.4,0.3,24.113
190,drum cooked,drum yang dimasak,236,9.7,0,0,34.6,0,126.3,0.1,109.2,99,0.1,58,19,0.3,4.4,1.3,0.5,1.5,0,0,0,118.6,1.8,58.5,355.7,543.6,1.3,166.292
191,crayfish raw,udang karang mentah,3,48,0,0,0.6,0,4.3,24,3.4,98,15,0.1,82,24,56,48,47,78,0,0,0,1,53,1.2,8.7,10.4,9,1.788
192,tilefish cooked,ikan tile yang dimasak,441,14.1,0,0,73.5,0,192,0.2,210.7,22,0.4,67,0.01,0.6,10.5,2.6,0.9,0,0,0,0,78,0.9,99,708,1536,1.6,166.521
193,bluefish cooked,ikan bluefish dimasak,186,6.4,0,0,30.1,0,88.9,45,73.3,0.2,12,66,19,0.1,8.5,1.1,0.5,0,0,0,0,10.5,0.7,49.1,340.5,558.1,1.2,47.9
194,grouper cooked,kerapu masak,238,2.6,0,0,50.2,0,94.9,0.1,148.2,0.1,0.2,23,83,35,0.8,1.8,0.7,0,0,0,0,42.4,2.3,74.7,288.9,959.5,1,97.6
195,sheepshead raw,kepala domba mentah,257,5.7,0,0,48.1,0,119,0.2,185.6,22,82,19,67,73,3.6,1.8,0.7,0,0,0,0,50,1.1,76.2,744.9,961.5,0.9,104.93
196,herring kippered,ikan haring yang sudah dikipasi,87,4.9,0,0,9.8,0,32.8,0.4,23.9,5,0.07,0.02,68,0.1,1.8,0.4,0.2,0.4,4,0.6,86,33.6,0.6,18.4,130,178.8,0.5,49.314
197,grouper raw,kerapu mentah,238,2.6,0,0,50.2,0,95.8,0.1,205.2,0.1,0.2,77,45,13,0.8,1.9,0.8,0,0,0,0,69.9,2.3,80.3,419.6,1251,1.2,125.1
198,ocean perch cooked,ikan bertengger laut yang dimasak,48,0.9,0,0,9.3,0,31.5,0.2,37.1,11,31,71,95,44,18,0.6,0.2,21,0,42,0.5,69,73,0.1,75,150,4,10.368
199,ling raw,ling mentah,168,1.2,0,0,36.7,0,77.2,0.3,153.7,41,0.2,52,88,0.4,4.4,0.6,0.6,0,0,0,0,65.6,1.3,121.6,382.1,731.5,1.5,104.862
200,lingcod cooked,ikan lingcod yang dimasak,329,4.1,0,0,68.4,0,202.3,0.2,228.6,54,0.1,24,15,0.4,7,2.6,1,0,0,0,0,54.4,1.2,99.7,779.2,1691.2,1.8,128.139
201,florida pompano raw,ikan pompano florida mentah,184,10.6,0,0,20.7,0,56,81,79.7,91,0.6,38,8,0.1,3.4,0.8,0.2,0,98,0.2,41,24.6,0.7,30.2,218.4,426.7,0.8,56.69
202,rockfish cooked,ikan karang dimasak,162,2.4,0,0,33.1,0,90.9,0.1,111.3,12,6,81,68,55,0.3,4.3,0.6,0.4,0,4,0.7,0,46,0.5,13,369.5,0.1,35.955
203,seatrout cooked,ikan kakap laut yang dimasak,247,8.6,0,0,39.9,0,197.2,0.1,133.8,6,0.1,33,32,0.4,5.4,1.6,0.9,0,0,0,0,40.9,0.7,74.4,597.1,812.8,1.1,90.142
204,sockeye salmon raw,salmon sockeye mentah,562,22.2,0,0,84.4,0,209.9,0.4,289.7,0.2,0.7,73,65,0.5,32.2,4.6,2.4,0,86,3.8,21,39.6,1.7,118.8,1053.4,1358.3,1.7,148.1
205,swordfish cooked,ikan todak dimasak,182,8.4,0,0,24.9,0,82.7,0.1,72.4,75,78,94,48,5,0.01,9.8,0.4,0.7,0,38,2.6,22,45,0.5,41,322.2,28,34.203
206,american shad raw,ikan shad amerika mentah,362,25.3,0,0,31.2,0,138,1,125.5,9,0.3,96,57,0.4,15.5,1.4,0.7,0,97,2.2,19,86.5,1.8,55.2,500.5,706.6,0.7,144.868
207,sardine canned in oil,sarden kalengan dalam minyak,310,17.1,0,0,36.7,0,211.6,0.5,88.8,51,0.1,67,75,0.3,7.8,1,0.2,0,0.04,3,63,569.2,4.4,58.1,730.1,591.5,2,627.452
208,anchovy canned in oil,ikan teri kalengan dalam minyak,8,0.4,0,0,1.2,0,3.4,0.1,2,12,0,7,61,71,0.8,8,82,0,0.07,0.1,13,9.3,0.2,2.8,10.1,21.8,31,11.106
209,salmon canned,salmon kalengan,520,20.3,0,0,79.1,0,143.9,1.8,261.1,64,79,72,55,0.6,25.8,2.1,1.4,0,0,5.9,0.02,918.8,2.6,110.7,1306.3,1107,3.7,1.020.882
210,sardines in tomato sauce canned,sarden dalam saus tomat kalengan,165,9.3,0.5,0.4,18.6,9,54.3,0.4,59.5,36,14,93,98,0.2,3.7,0.6,0.1,0.9,17,1.2,12,213.6,2,30.3,325.7,303.5,1.2,244.978
211,sockeye salmon canned,salmon sockeye kalengan,563,24.9,0,0,79.5,0,266.2,1.4,229.4,0.2,0.1,96,14,0.7,25.7,1.8,0.4,0,0.09,7,18,781.8,2.2,104.5,1139.1,1058.2,2.8,888.6
212,tuna canned,tuna kalengan,102,2.4,0,0,18.9,0,33.6,0.3,58.6,17,32,87,75,79,4.6,86,0.2,0,0.07,0.7,99,11.2,0.8,26.4,173.6,189.6,0.4,33.32
213,pink salmon canned,salmon merah muda kalengan,530,20.4,0,0,80.9,0,226.1,1.7,304.3,25,61,54,31,0.8,26.9,2.3,1.2,0,18,2.6,44,883.7,2.6,123.3,1385.1,1413.8,3.1,987.651
214,cod canned,ikan kod kalengan,328,2.7,0,0,71,0,171.6,0.7,235.9,46,0.3,0.06,0.04,0.2,7.8,0.5,0.9,3.1,66,2.6,63,65.5,1.5,127.9,811.2,1647.4,1.8,143.814
215,eastern oyster canned,tiram timur kalengan,110,4,6.3,0,11.4,0,89.1,0.2,137.9,0.1,0.2,9,89,0.3,2,0.3,0.2,8.1,0,1.4,56,72.9,10.9,87.5,225.2,371,147.3,113.7
216,chum salmon canned,ikan salmon kalengan,520,20.3,0,0,79.1,0,143.9,0.3,261.1,14,92,54,12,0.6,25.8,2.1,1.4,0,0,0,0,918.8,2.6,110.7,1306.3,1107,3.7,1.020.805
217,tuna canned in oil,tuna kalengan dalam minyak,331,14.4,0,0,47.2,0,55.2,0.7,114,0.03,44,22,33,0.1,20.8,0.7,0.8,0,0,4.1,73,7.1,1.2,60.5,475.3,592.7,0.8,69.953
218,wild pink salmon oceans,ikan salmon merah muda liar di lautan,320,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
219,shrimp canned,udang kalengan,128,1.7,0,0,26.1,0,322.6,1.1,97.1,0,39,78,81,99,0.7,0.2,54,5.2,0,1.4,0,185.6,2.7,42.2,249.6,102.4,2.5,221.3
220,alaska king crab raw,kepiting raja alaska mentah,144,1,0,0,31.5,0,72.2,1.4,136.9,48,15,82,4,26,1.9,0.6,0.3,12,0,0,0,79.1,1,84.3,376.7,350.9,10.2,124.608
221,scallops fried,kerang goreng,64,3.2,6.4,0,2.6,0,18,0.2,11.5,59,49,81,89,0.1,0,75,13,0,0,0,0,3.1,0.3,5.3,48.7,49,0.2,15.698
222,shrimp cooked,udang masak,7,92,13,0,1.3,0,11.6,12,3.9,21,31,98,77,2,0.1,26,41,0,0.08,0.1,1,5,9,2,16.8,9.4,8,6.398
223,clams fried,kerang goreng,19,1,1,0,1.3,0,5.7,68,5.8,8,91,59,83,42,0.2,0.01,11,0.9,0,0,0,5.9,1.3,1.3,17.7,30.6,0.1,11.464
224,alaska king crab cooked,kepiting raja alaska dimasak,130,2.1,0,0,25.9,0,71,1.4,103.9,18,5,2,0.02,0.07,1.8,0.5,0.2,10.2,0,0,0,79.1,1,84.4,375.2,351.1,10.2,118.35
225,scallops cooked,kerang yang dimasak,11,58,0.5,0,2.1,0,4.1,0.06,7,0.05,91,11,15,67,49,0.1,4,32,0,0,0,0,57,41,4,42.6,42,2.732
226,squid fried,cumi goreng,140,6,6.2,0,14.4,0,208,0.2,51.6,35,48,0.06,0.05,0.4,2.1,0.4,33,3.4,0,0,0,31.2,0.8,30.4,200.8,223.2,1.4,62.028
227,oyster raw,tiram mentah,41,1.2,2.5,0,4.7,0,25,59,41,93,52,88,18,0.1,1,0.3,26,4,0,0,0,4,2.6,11,81,84,8.3,19.054
228,abalone,pauhi,89,0.6,5.1,0,14.5,0,72.3,0.3,63.4,56,0.2,38,57,0.09,1.3,2.6,0.1,1.7,0,3.4,43,26.4,2.7,40.8,161.5,212.5,0.7,51.092
229,queen crab raw,kepiting ratu mentah,25,0.3,0,0,5.2,0,15.6,0.2,22.8,93,32,1,82,63,0.7,24,59,2,0,0,0,7.4,0.7,13.9,37.6,49,0.8,15.607
230,whelk cooked,siput laut yang dimasak,78,0.2,4.4,0,13.5,0,36.8,0.1,9.1,13,76,57,84,55,0.6,0.1,0.2,1.9,0,0,0,32,2.8,48.7,79.8,196.4,0.9,54.806
231,oyster cooked,tiram yang dimasak,41,1.2,2.5,0,4.7,0,25,66,16,82,99,5,7,0.1,0.9,0.2,43,3.2,0,0.2,47,4,2.3,11,60.8,75.5,8.3,17.971
232,eastern oyster cooked,tiram timur dimasak,8,0.2,0.7,0,0.7,0,3.7,38,8,0.09,0.02,86,99,12,0.2,83,23,0.6,0,0,0,5.5,0.8,3.2,11.3,14.9,4.4,8.598
233,blue mussels cooked,kerang biru dimasak,344,9,14.8,0,47.6,0,112,0.7,122.3,0.2,0.6,0.2,26,0.8,6,1.9,0.2,27.2,0,0,0,66,13.4,74,570,536,5.3,178.2
234,octopus raw,gurita mentah,23,0.3,0.6,0,4.2,0,13.6,64,22.7,59,66,9,43,64,0.6,0.1,0.1,1.4,0,0.3,74,15,1.5,8.5,52.6,99.1,0.5,23.044
235,spiny lobster cooked,lobster berduri dimasak,233,3.2,5.1,0,43,0,146.7,0.4,108.8,0.06,97,32,68,16,8,0.7,0.3,3.4,0,0,0,102.7,2.3,83.1,373.3,339,11.9,159.731
236,blue mussels raw,kerang biru mentah,129,3.4,5.5,0,17.9,0,42,0.4,120.9,28,0.2,95,3,0.3,2.4,0.8,41,12,0,0.8,12,39,5.9,51,295.5,480,2.4,83.72
237,queen crab cooked,kepiting ratu dimasak,98,1.3,0,0,20.2,0,60.4,0.6,63.8,7,7,29,0.04,0.2,2.5,0.3,0.1,6.1,0,0,0,28.1,2.4,53.6,108.8,170,3.1,58.197
238,dungeness crab cooked,kepiting dungeness dimasak,140,1.6,1.2,0,28.3,0,96.5,0.5,93.1,0.06,24,54,39,0.3,4.6,0.5,0.2,4.6,0,0,0,74.9,0.5,73.7,222.3,518.2,6.9,111.171
239,dungeness crab raw,kepiting dungeness mentah,140,1.6,1.2,0,28.4,0,96.2,0.5,129.1,26,33,86,17,0.3,5.1,0.6,0.2,5.7,0,0,0,75,0.6,73.4,296.7,577,7,112.564
240,shrimp fried,udang goreng,52,3.2,4.8,86,1.3,0.1,9.9,0.2,7.2,0.01,37,29,75,65,0.2,0,21,0,0,0.4,0.04,4.9,0.1,2.7,31.5,13.9,69,14.433
241,shrimp raw,udang mentah,4,23,41,0,0.7,0,6.3,83,4.2,83,92,52,45,81,89,56,25,0,53,35,42,2.7,72,1.1,12.2,5.7,78,3.712
242,blue crab cooked,kepiting biru dimasak,71,0.6,0,0,15.2,0,82.5,0.3,67.7,4,29,36,48,96,33,2.3,0.8,0.1,2.8,0,1.6,27,0.7,0.4,87,198.9,76,16.719
243,shrimp imitation,tiruan udang,29,0.4,2.6,0,3.5,0,10.2,0.2,21.2,46,0.02,0.02,76,85,84,23,5,0,0,0,0,5.4,0.2,12.2,79.8,25.2,36,12.119
244,conch baked,keong panggang,165,1.5,2.2,0,33.4,0,82.6,0.2,88.1,99,69,0.2,88,0.1,1.3,0,95,0,0,8,16,124.5,1.8,302.3,275.6,207,2.2,163.446
245,squid raw,cumi mentah,26,0.4,0.9,0,4.4,0,65.9,0.09,22.2,77,14,43,27,0.1,0.6,0.1,33,1.3,0,0.3,0,9.1,0.2,9.3,62.5,69.6,0.4,16.386
246,scallop raw,kerang mentah,10,91,0.5,0,1.8,0,3.6,57,12.4,84,31,35,95,15,0.1,98,49,0,0,0,0,0.9,68,3.3,50.1,30.8,0.1,3.417
247,lobster raw,lobster mentah,116,1.1,0,0,24.8,0,190.5,0.6,121.4,92,25,33,5,86,2.4,2.2,0.2,0,0,1.3,0,126,0.4,57,241.5,300,5.3,152.362
248,scallop imitation,tiruan kerang,28,0.1,3,0,3.6,0,6.2,0.2,20.9,8,79,46,0.04,17,91,0.09,45,0,0,0,0,2.3,58,12.2,79.8,29.1,19,9.105
249,blue crab raw,kepiting biru mentah,18,0.2,18,0,3.8,0,16.4,79,16.6,69,98,82,9,21,0.6,79,73,0.6,0,0,0,18.7,0.2,7.1,48.1,69.1,0.7,23.615
250,whelk raw,siput mentah,39,0.1,2.2,0,6.7,0,18.4,73,18.7,43,89,27,21,88,0.3,37,97,1.1,0,13,28,16.1,1.4,24.3,39.9,98.2,0.5,27.678
251,spiny lobster raw,lobster berduri mentah,234,3.2,5.1,0,43.1,0,146.3,0.4,154.8,25,71,94,8,43,8.9,0.7,0.3,4.2,0,0,0,102.4,2.5,83.6,497.4,376.2,11.9,160.501
252,clams canned,kerang kalengan,227,2.5,9.4,0,38.8,0,80,0.2,104.4,0.2,31,99,0.01,0.1,0.9,0.4,71,0,63,1.8,37,104,4.3,51.2,523.2,1004.8,1.3,159.2
253,lobster cooked,lobster dimasak,134,1.3,0,0,28.5,0,219,0.7,117.2,77,74,77,71,99,31,2.7,2.5,0.2,0,0,1.5,0,2.3,0.4,49,277.5,0.1,32.314
254,eastern oyster fried,tiram goreng timur,29,1.8,1.7,0,1.3,0,10.4,15,9.4,0,26,3,16,84,0.2,81,7,0.6,0,0,0,9.1,1,8.5,23.2,35.6,12.7,15.5
255,clams raw,kerang mentah,195,2.2,8.1,0,33.3,0,68.1,1.4,179.3,0.2,98,95,64,1,0.8,0.3,0,0,0,1.5,32,88.5,3.7,43.1,449.5,104.4,1.2,136
256,octopus cooked,gurita dimasak,139,1.8,3.7,0,25.3,0,81.6,0.4,51.4,0.09,75,16,31,79,3.2,0.8,0.6,6.8,0,1,88,90.1,8.1,51,237.2,535.5,2.9,135.853
257,eastern oyster raw,tiram timur mentah,8,0.2,0.8,0,0.7,0,3.5,21,12.1,69,86,13,95,12,0.2,76,77,0.7,0,0,0,6.2,0.8,4.6,13,17.4,5.3,9.448
258,oyster fried,tiram goreng,61,3,6.7,0,2.1,0,18.1,0.1,11.1,36,39,35,81,0.02,0.7,0.2,19,0.7,0,0,0,4.6,0.7,3.9,32.7,30.4,2.6,17.861
259,sturgeon smoked,ikan sturgeon asap,49,1.2,0,0,8.8,0,22.6,0.2,17.7,0.02,26,6,11,78,3.1,0.3,0.09,0,48,0.1,22,4.8,0.3,13.3,79.5,107.3,0.2,15.175
260,chinook salmon smoked,salmon chinook asap,159,5.9,0,0,24.9,0,31.3,1.1,97.9,19,0.01,19,7,0.1,6.4,1.2,0.4,0,0.09,1.8,39,15,1.2,24.5,223,238,0.4,47.038
261,cisco smoked,cisco merokok,50,3.4,0,0,4.6,0,9.1,0.1,19.8,0.05,79,31,0.04,0,0.7,9,0.08,0,47,98,94,7.4,0.1,4.8,42.5,82.9,76,15.576
